Sub-SaharanAfrica,4.72
EasternAfrica,4.43
Burundi,5.45
Comoros,4.24
Djibouti,2.76
Eritrea,4.1
Ethiopia,4.3
Kenya,3.52
Madagascar,4.11
Malawi,4.25
Mauritius,1.39
Mayotte,3.73
Mozambique,4.89
Réunion,2.27
Rwanda,4.1
Seychelles,2.46
Somalia,6.12
SouthSudan,4.74
Uganda,5.01
UnitedRepublicofTanzania,4.92
Zambia,4.66
Zimbabwe,3.63
MiddleAfrica,5.53
Angola,5.55
Cameroon,4.6
CentralAfricanRepublic,4.75
Chad,5.8
Congo,4.45
DemocraticRepublicoftheCongo,5.96
EquatorialGuinea,4.55
Gabon,4
SaoTomeandPrincipe,4.35
SouthernAfrica,2.5
Botswana,2.89
Eswatini,3.03
Lesotho,3.16
Namibia,3.42
SouthAfrica,2.41
WesternAfrica,5.18
Benin,4.87
BurkinaFaso,5.23
CaboVerde,2.29
Côted'Ivoire,4.68
Gambia,5.25
Ghana,3.89
Guinea,4.74
Guinea-Bissau,4.51
Liberia,4.35
Mali,5.92
Mauritania,4.58
Niger,6.95
Nigeria,5.42
Senegal,4.65
SierraLeone,4.32
Togo,4.35
NorthernAfricaandWesternAsia,2.93
NorthernAfrica,3.25
Algeria,3.05
Egypt,3.33
Libya,2.25
Morocco,2.42
Sudan,4.43
Tunisia,2.2
WesternSahara,2.41
WesternAsia,2.65
Armenia,1.76
Azerbaijan,2.08
Bahrain,2
Cyprus,1.34
Georgia,2.06
Iraq,3.68
Israel,3.04
Jordan,2.77
Kuwait,2.1
Lebanon,2.09
Oman,2.93
Qatar,1.88
SaudiArabia,2.34
StateofPalestine,3.67
SyrianArabRepublic,2.84
Turkey,2.08
UnitedArabEmirates,1.42
Yemen,3.84
CentralandSouthernAsia,2.41
CentralAsia,2.75
Kazakhstan,2.76
Kyrgyzstan,3
Tajikistan,3.61
Turkmenistan,2.78
Uzbekistan,2.43
SouthernAsia,2.4
Afghanistan,4.56
Bangladesh,2.05
Bhutan,2
India,2.24
Iran(IslamicRepublicof),2.15
Maldives,1.88
Nepal,1.93
Pakistan,3.55
SriLanka,2.21
EasternandSouth-EasternAsia,1.83
EasternAsia,1.65
China,1.69
"China,HongKongSAR",1.33
"China,MacaoSAR",1.2
"China,TaiwanProvinceofChina",1.15
Dem.People'sRepublicofKorea,1.91
Japan,1.37
Mongolia,2.9
Republic of Korea,1.11
South-EasternAsia,2.22
BruneiDarussalam,1.85
Cambodia,2.52
Indonesia,2.32
LaoPeople'sDemocraticRepublic,2.7
Malaysia,2.01
Myanmar,2.17
Philippines,2.58
Singapore,1.21
Thailand,1.53
Timor-Leste,4.1
VietNam,2.06
LatinAmericaandtheCaribbean,2.04
Caribbean,2.2
AntiguaandBarbuda,2
Aruba,1.9
Bahamas,1.76
Barbados,1.62
Cuba,1.62
Curaçao,1.76
DominicanRepublic,2.36
Grenada,2.07
Guadeloupe,2.17
Haiti,2.96
Jamaica,1.99
Martinique,1.88
PuertoRico,1.22
SaintLucia,1.44
SaintVincentandtheGrenadines,1.9
TrinidadandTobago,1.73
UnitedStatesVirginIslands,2.05
CentralAmerica,2.23
Belize,2.32
CostaRica,1.76
ElSalvador,2.05
Guatemala,2.9
Honduras,2.49
Mexico,2.14
Nicaragua,2.42
Panama,2.47
SouthAmerica,1.95
Argentina,2.27
Bolivia(PlurinationalStateof),2.75
Brazil,1.74
Chile,1.65
Colombia,1.82
Ecuador,2.44
FrenchGuiana,3.36
Guyana,2.47
Paraguay,2.45
Peru,2.27
Suriname,2.43
Uruguay,1.98
Venezuela(BolivarianRepublicof),2.28
Australia/NewZealand,1.84
Australia,1.83
NewZealand,1.9
Oceania(excludingAustraliaandNewZealand),3.46
Melanesia,3.53
Fiji,2.79
NewCaledonia,1.97
PapuaNewGuinea,3.59
SolomonIslands,4.44
Vanuatu,3.8
Micronesia,2.86
Guam,2.32
Kiribati,3.58
Micronesia(Fed.Statesof),3.08
Polynesia,2.76
FrenchPolynesia,1.95
Samoa,3.9
Tonga,3.58
EuropeandNorthernAmerica,1.66
Europe,1.61
EasternEurope,1.66
Belarus,1.71
Bulgaria,1.56
Czechia,1.64
Hungary,1.49
Poland,1.42
RepublicofMoldova,1.26
Romania,1.62
RussianFederation,1.82
Slovakia,1.5
Ukraine,1.44
NorthernEurope,1.75
ChannelIslands,1.5
Denmark,1.76
Estonia,1.59
Finland,1.53
Iceland,1.77
Ireland,1.84
Latvia,1.72
Lithuania,1.67
Norway,1.68
Sweden,1.85
United Kingdom,1.75
SouthernEurope,1.37
Albania,1.62
BosniaandHerzegovina,1.27
Croatia,1.45
Greece,1.3
Italy,1.33
Malta,1.45
Montenegro,1.75
NorthMacedonia,1.5
Portugal,1.29
Serbia,1.46
Slovenia,1.6
Spain,1.33
WesternEurope,1.68
Austria,1.53
Belgium,1.71
France,1.85
Germany,1.59
Luxembourg,1.45
Netherlands,1.66
Switzerland,1.54
NorthernAmerica,1.75
Canada,1.52
UnitedStatesofAmerica,1.78
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,0.798
